34,22
0000000000000000000000000000000000
0000000000000000000000000000000000
0000000000000000000000000000000000
0000000000000000000000000000000000
0000222222222222222222222222220000
0000211111111111111111111111120000
0000212222222222212222222222120000
0000212111111111111111111112120000
0000212122222222222222222212120000
0000212121111111111111111212120000
0000212121222222222222221112120000
0000212111222222422222221212120000
0000212121111111111111111212120000
0000212122222222222222222212120000
0000212111111111111111111112120000
0000212222222222212222222222120000
0000211111111111111111111111120000
0000222222222222222222222222220000
0000000000000000000000000000000000
0000000000000000000000000000000000
0000000000000000000000000000000000
0000000000000000000000000000000000
70
60
23
28,4,0
29,8,2
29,14,4
25,17,6
22,15,8
16,15,10
21,13,12
27,12,13
25,11,14
23,10,15
19,8,17
14,10,19
11,8,21
8,12,23
6,8,25
10,6,27
18,6,29
15,4,31
11,4,33
6,4,35
4,9,37
6,13,39
5,17,40
3
1.000000,m,Ow!
2.000000,m,Fire hot!
3.000000,m,Don't go into the light
