29,21
22222222222222222222222222222
21111111111111111111111111112
21221222221222222212222212212
21221222221222222212222212212
21221111111111111111111112212
21221221222221212222212212212
21221221222221212222212212212
21111221111111211111112211112
21221221221222222212212212212
21221221221221112212212212212
21221111221111411112211112212
21221221221221112212212212212
21221221221222222212212212212
21111221111111211111112211112
21221221222221212222212212212
21221221222221212222212212212
21221111111111111111111112212
21221222221222222212222212212
21221222221222222212222212212
21111111111111111111111111112
22222222222222222222222222222
70
70
14,5,0
20,5,2
20,10,4
20,15,6
14,15,8
11,17,10
9,18,11
4,20,13
3,16,14
5,13,15
3,10,17
5,7,19
3,4,21
4,0,23
7,2,25
14,2,27
21,2,29
25,0,31
26,4,33
28,7,35
26,10,37
26,16,39
24,20,40
21,18,42
15,20,44
